"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"GALLEY BAR AND GRILL (THE)","2839 ROUTE 9,  BALLSTON SPA","12/29/2025","Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45°F during cold holding, except smoked fish not kept at or below 38°F during cold holding.; Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 14A-   Insects, rodents present; Item 14C-   Pesticide application not supervised by a certified applicator; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","4","0","14","Food Service Establishment - Food Service Establishment","Saratoga County","SARATOGA","2839 ROUTE 9","BALLSTON SPA","12020","456000","MALTA","GALLEY BAR AND GRILL (THE)","02/28/2026",,"GALLEY BAR AND GRILL LLC","COSTOPOULOS","ANDREW","1123707","Inspection","All violations are subject to enforcement action. Please contact the Saratoga County Department of Health with any questions.|Will resinspect in 2-3 weeks.","NY","(43.012214, -73.789782)"
"ALBANY HOUSING AUTHORITY","200 SOUTH PEARL  STREET,  ALBANY","07/31/2025","No violations found.","0","0","0","SED Summer Feeding Prog. - SED Satellite Feeding Site","Albany County","ALBANY","200 SOUTH PEARL  STREET","ALBANY","12202","010100","ALBANY","SUPER HERO ACADEMY","09/15/2025",,,,,"1178729","Inspection","No Violation at the time of inspection","NY","(42.64351, -73.75583)"
"Brick House Billiards","3707 Brewerton ROAD,  North Syracuse","05/21/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","3707 Brewerton ROAD","North Syracuse","13212","336400","SALINA","Brick House Billiards","01/31/2027",,"3707 Brewerton Rd LLC","Holmes","Brian","980003","Inspection","Raw chicken, 40 degrees F.  Lunch meat, 41 degrees F.","NY","(43.116205, -76.145465)"
"NIAGARA CROSSING HOTEL & SPA","100 CENTER STREET,  LEWISTON","07/30/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);","0","0","1","Food Service Establishment - Restaurant","Niagara County","NIAGARA","100 CENTER STREET","LEWISTON","14092","312100","LEWISTON","NIAGARA CROSSING HOTEL KITCHEN","07/31/2026",,"KASTURI HOTELS LLC","ULRICH","KRISTI","903234","Inspection","Permit and choking poster posted|Cold Holds below 45 degrees F|Hot Holds over 140F|Thermometers in Fridges: OK|Bathrooms: OK|Handwashing Sink: OK|Dry Storage: OK|Indirect Drain: OK|Dishwasher ( High Temp): OK|Thermometer (Food): OK|Cooking Temps: OK|Hand Barriers: OK|Hair Restraints: OK|Bar Area: OK|Breakfast open until 10:00AM. Sausage and Eggs hot held above 140F in breakfast self service area.","NY","(43.17316, -79.047742)"
"WEST END CAFE","187 GLEN COVE ROAD,  CARLE PLACE","02/27/2025","Item 15D-   Improper storage of cleaning equipment, linens, laundry unacceptable;","0","0","1","Food Service Establishment - Restaurant","Nassau  County","NASSAU","187 GLEN COVE ROAD","CARLE PLACE","11514","295102","N. HEMPSTEAD","WEST END CAFE","04/30/2026","WEST END CAFE","R & G CARLE PLACE RESTAURANT INC",,,"578434","Re-Inspection",,"NY","(40.746949, -73.617322)"
"SWABY'S TAVERN","6 SOUTH STREET,  AUBURN","11/13/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","4","Food Service Establishment - Food Service Establishment","Cayuga County","CAYUGA","6 SOUTH STREET","AUBURN","13021","050100","AUBURN","SWABY'S TAVERN","03/31/2026",,"Swaby's Inc.","Pacini","Anthony","261304","Inspection",,"NY","(42.931473, -76.566041)"
"DUNKIN DONUTS","505 WEST STATE STREET,  HERKIMER","11/12/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Herkimer District Office","HERKIMER","505 WEST STATE STREET","HERKIMER","13317","212400","HERKIMER","DUNKIN DONUTS","07/31/2026",,"HERKIMER DONUTS, LLC","CAFUA","DAVID","547334","Inspection","Cold holding within acceptable ranges, no hot holding noted. Cooler/freezers within appropriate ranges. Noted glove use, sanitizer & probe thermometers. Food storage satisfactory - products labeled & dated. Facility well maintained.","NY","(43.022823, -74.99197)"
"CHENANGO FORKS JR/SR HIGH SCH","1 GORDON DRIVE,  BINGHAMTON","09/11/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Institutional Food Service - School K-12 Food Service","Broome County","BROOME","1 GORDON DRIVE","BINGHAMTON","13901","035200","CHENANGO","CHENANGO FORKS JR/SR HIGH SCH","08/31/2026",,"CHENANGO FORKS CSD","O'HARE","TIM","256953","Inspection",,"NY","(42.192477, -75.853152)"
"IL VILLAGGIO RESTAURANT","947 SOUTH Lake  BOULEVARD,  Mahopac","11/21/2025","Item  1F-  Critical Violation [RED] Shellfish not from approved sources, improperly tagged/labeled, tags not  retained 90 days.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","1","0","3","Food Service Establishment - Restaurant","Putnam County","PUTNAM","947 SOUTH Lake  BOULEVARD","Mahopac","10541","395000","CARMEL","IL VILLAGGIO RESTAURANT","03/31/2026",,"IL VILLAGGIO RESTAURANT, INC","KAJTAZAJ","ARDITA","1078863","Inspection","Red item violations may be subject to enforcement action.","NY","(41.372393, -73.735168)"
"CHIPOTLE MEXICAN GRILL #1348","100 SOUTH RIDGE STREET,  RYE BROOK","01/30/2026","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","3","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","100 SOUTH RIDGE STREET","RYE BROOK","10573","594200","RYE","CHIPOTLE MEXICAN GRILL #1348","03/31/2027",,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC","LUSKIN","TIM","729224","Inspection","All measured hot and cold holding temperatures adequate at time of inspection. Observed workers wearing gloves when handling ready to eat food items such as torilla chips and interior food contact portion of tortilla bags. Extermination services provided monthly by Ecolab with last date of service on 1/19/2026. Services MUST continue. Low temp chemical dish machine functioning as designed with adequate temperature above 120F and adequate sanitizing concentration. Testing strips to be used to evaluate sanitizing concentrations of dish machine to ensure dish machine is functioning adequately. Testing strips must be chlorine based. Observed proper 3 compartment sink set up. DIscussed: New food allergen law. Food allergen certified staff MUST be present ON SITE with an APPROVED food allergen certification at all times facility is in operation. Posters must be placed in both english and spanish in both customer and food handler areas. |Links to new food allergen and single service laws, posters, and approved certifications may be found below:|NEW FOOD ALLERGEN AND AS PER REQUEST LAWS|New food allergy posters, approved certifications, and Single Service requirements may be found on the county website:|https://health.westchestergov.com/sanitation|Westchester County English Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylaw.pdf |Westchester County Spanish Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylawsp.pdf","NY","(41.003861, -73.681824)"
"ICHIBAN","181 GRANT AVENUE,  AUBURN","12/11/2025","Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","5","Food Service Establishment - Food Service Establishment","Cayuga County","CAYUGA","181 GRANT AVENUE","AUBURN","13021","050100","AUBURN","ICHIBAN","03/31/2026",,"Sakura Hibachi Steakhouse Inc.","Liu","Yongzhi","785443","Inspection",,"NY","(42.946878, -76.549055)"
"HERITAGE MIDDLE SCHOOL","405 UNION AVENUE,  NEW WINDSOR","12/18/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Orange County","ORANGE","405 UNION AVENUE","NEW WINDSOR","12553","356400","NEW WINDSOR","Heritage Middle School","12/31/2026",,"Newburgh Enlarged City School District (FSEs)","Torres","Christina","602916","Inspection",,"NY","(41.48096, -74.049648)"
"RED PINES GOLF COURSE","580 COUNTY HWY 20,  EDMESTON","06/04/2025","Item  1D-  Critical Violation [RED] Canned foods found in poor conditions (leakers, severe dents, rusty, swollen cans); Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  8F-   Improper thawing procedures used; Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","3","0","6","Food Service Establishment - Restaurant","Oneonta District Office","OTSEGO","580 COUNTY HWY 20","EDMESTON","13335","385400","EDMESTON","RED PINES GOLF COURSE","03/31/2026",,,"SHOEMAKER, JR.","WILLIAM","374082","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.|3. Education regarding the Department’s Food Allergen Law was provided.  The operator was advised that they must post a notice to their employees raising food allergy awareness.  The notice must contain information on 1) the process to follow when a customer notifies an employee of a food allergy, 2) how to avoid cross-contact, and 3) the procedures to be followed in the event a customer experiences an allergic reaction, including when to call 9-1-1. The notice must be posted in a conspicuous location, and in at least one of the languages spoken by each employee, provided those languages are among those translated by the Department. The law also requires that food service establishments include the following statement on their menu or menu assembly: “If you have a food allergy, please notify us,” along with a message informing customers that allergen information is available for prepared food items. If the menu is written in a language other than English and is one that the Department makes a translation for, the menu statement must be written in that language. Please be advised that online menus must also include this statement, and a method by which a customer can indicate if they have a food allergy.  In response to this law, the Department created a Food Allergy Awareness notice containing information for food service establishment employees on food allergies. This notice, and the required menu statement, are available on the Department’s website in English as well as the top six languages spoken in the State; https://www.health.ny.gov/environmental/indoors/food_safety/guidance.htm|4. The water UV system is measuring at 100 at the time of the inspection. The water system is adequately functioning.","NY","(42.696479, -75.282364)"
